team A,team B,Toss_Winner,Top Batsmen Points(Team A),Top Batsmen Points(Team B),Top Baller Points(Team A),Top Baller Points(Team B),Match Won after winning Toss Team A,Match Won after winning Toss Team B,runs in pp team a,runs in pp team b,Run Rate(Team A),Run Rate(Team B),Most Value Player Points(Team A),Most Value Player Points(Team B),Win ratio (Team A),Win ratio (Team B),Team A Ground,Team B Ground,winner,id,result,toss_decision,dl_applied,win_by_runs,win_by_wickets,player_of_match,umpire1,umpire2,umpire3,venue
KKR,RCB,RCB,536,509,730,393,0,0,61,26,-0.147,-1.16,514.5,517.5,0,0,away,home,KKR,60,normal,field,0,140,0,BB McCullum,Asad Rauf,RE Koertzen,,M Chinnaswamy Stadium
CSK,KXIP,CSK,807,804,564,538,0,0,53,63,-0.192,0.509,680,727,0,0,away,away,CSK,61,normal,bat,0,33,0,MEK Hussey,MR Benson,SL Shastri,,"Punjab Cricket Association Stadium, Mohali"
RR,DC,RR,642,536,571,590,0,0,40,55,0.632,0.342,917,517.5,0,0,away,away,DC,62,normal,bat,0,0,9,MF Maharoof,Aleem Dar,GA Pratapkumar,,Feroz Shah Kotla
MI,RCB,MI,556,509,970,393,0,0,47,40,0.57,-1.16,724,517.5,0,0,home,away,RCB,63,normal,bat,0,0,5,MV Boucher,SJ Davis,DJ Harper,,Wankhede Stadium
DEC,KKR,DEC,617,536,603,730,0,0,39,26,-0.467,-0.147,598,514.5,0,0,away,home,KKR,64,normal,bat,0,0,5,DJ Hussey,BF Bowden,K Hariharan,,Eden Gardens
KXIP,RR,KXIP,804,642,538,571,0,0,54,53,0.509,0.632,727,917,0,0,away,home,RR,65,normal,bat,0,0,6,SR Watson,Aleem Dar,RB Tiffin,,Sawai Mansingh Stadium
DEC,DC,DEC,617,536,603,590,0,0,25,48,-0.467,0.342,598,517.5,0,0,away,away,DC,66,normal,bat,0,0,9,V Sehwag,IL Howell,AM Saheba,,"Rajiv Gandhi International Stadium, Uppal"
CSK,MI,MI,807,556,564,970,0,0,53,52,-0.192,0.57,680,724,0,0,home,away,CSK,67,normal,field,0,6,0,ML Hayden,DJ Harper,GA Pratapkumar,,"MA Chidambaram Stadium, Chepauk"
DEC,RR,RR,617,642,603,571,0,0,58,73,-0.467,0.632,598,917,0,0,away,away,RR,68,normal,field,0,0,3,YK Pathan,Asad Rauf,MR Benson,,"Rajiv Gandhi International Stadium, Uppal"
KXIP,MI,MI,804,556,538,970,0,0,60,39,0.509,0.57,727,724,0,0,away,away,KXIP,69,normal,field,0,66,0,KC Sangakkara,Aleem Dar,AM Saheba,,"Punjab Cricket Association Stadium, Mohali"
RCB,RR,RR,509,642,393,571,0,0,57,45,-1.16,0.632,517.5,917,0,0,home,away,RR,70,normal,field,0,0,7,SR Watson,MR Benson,IL Howell,,M Chinnaswamy Stadium
KKR,CSK,KKR,536,807,730,564,0,0,61,45,-0.147,-0.192,514.5,680,0,0,away,home,CSK,71,normal,bat,0,0,9,JDP Oram,BF Bowden,AV Jayaprakash,,"MA Chidambaram Stadium, Chepauk"
MI,DEC,DEC,556,617,970,603,0,0,27,60,0.57,-0.467,724,598,0,0,home,away,DEC,72,normal,field,0,0,10,AC Gilchrist,Asad Rauf,SL Shastri,,Dr DY Patil Sports Academy
DC,KXIP,DC,536,804,590,538,0,0,45,55,0.342,0.509,517.5,727,0,0,away,away,KXIP,73,normal,bat,0,0,4,SM Katich,RE Koertzen,I Shivram,,"Punjab Cricket Association Stadium, Mohali"
CSK,RCB,CSK,807,509,564,393,0,0,36,45,-0.192,-1.16,680,517.5,0,0,away,home,CSK,74,normal,bat,0,13,0,MS Dhoni,BR Doctrove,RB Tiffin,,M Chinnaswamy Stadium
KKR,MI,KKR,536,556,730,970,0,0,40,38,-0.147,0.57,514.5,724,0,0,home,away,MI,75,normal,bat,0,0,7,ST Jayasuriya,BF Bowden,AV Jayaprakash,,Eden Gardens
DC,RCB,RCB,536,509,590,393,0,0,58,55,0.342,-1.16,517.5,517.5,0,0,away,away,DC,76,normal,field,0,10,0,GD McGrath,Aleem Dar,I Shivram,,Feroz Shah Kotla
DEC,KXIP,KXIP,617,804,603,538,0,0,50,41,-0.467,0.509,598,727,0,0,away,away,KXIP,77,normal,field,0,0,7,SE Marsh,BR Doctrove,RB Tiffin,,"Rajiv Gandhi International Stadium, Uppal"
RR,KKR,RR,642,536,571,730,0,0,45,51,0.632,-0.147,917,514.5,0,0,home,away,RR,78,normal,bat,0,45,0,SA Asnodkar,RE Koertzen,GA Pratapkumar,,Sawai Mansingh Stadium
CSK,DC,CSK,807,536,564,590,0,0,47,64,-0.192,0.342,680,517.5,0,0,home,away,DC,79,normal,bat,0,0,8,V Sehwag,BF Bowden,K Hariharan,,"MA Chidambaram Stadium, Chepauk"
KXIP,KKR,KXIP,804,536,538,730,0,0,41,43,0.509,-0.147,727,514.5,0,0,away,away,KXIP,81,normal,bat,0,9,0,IK Pathan,DJ Harper,I Shivram,,"Punjab Cricket Association Stadium, Mohali"
RCB,DEC,DEC,509,617,393,603,0,0,49,31,-1.16,-0.467,517.5,598,0,0,home,away,RCB,111,normal,field,0,3,0,P Kumar,BR Doctrove,SL Shastri,,M Chinnaswamy Stadium
MI,DC,DC,556,536,970,590,0,0,50,37,0.57,0.342,724,517.5,0,0,home,away,MI,82,normal,field,0,29,0,SM Pollock,IL Howell,RE Koertzen,,Dr DY Patil Sports Academy
CSK,RR,CSK,807,642,564,571,0,0,38,44,-0.192,0.632,680,917,0,0,away,home,RR,83,normal,bat,0,0,8,Sohail Tanvir,Asad Rauf,AV Jayaprakash,,Sawai Mansingh Stadium
RCB,KXIP,KXIP,509,804,393,538,0,0,26,52,-1.16,0.509,517.5,727,0,0,home,away,KXIP,84,normal,field,0,0,6,S Sreesanth,SJ Davis,BR Doctrove,,M Chinnaswamy Stadium
CSK,DEC,DEC,807,617,564,603,0,0,34,50,-0.192,-0.467,680,598,0,0,home,away,DEC,85,normal,field,0,0,7,AC Gilchrist,MR Benson,RB Tiffin,,"MA Chidambaram Stadium, Chepauk"
RR,MI,MI,642,556,571,970,0,0,48,34,0.632,0.57,917,724,0,0,away,home,MI,86,normal,field,0,0,7,A Nehra,DJ Harper,RE Koertzen,,Dr DY Patil Sports Academy
DC,CSK,CSK,536,807,590,564,0,0,50,62,0.342,-0.192,517.5,680,0,0,away,away,CSK,87,normal,field,0,0,4,MS Dhoni,Aleem Dar,RB Tiffin,,Feroz Shah Kotla
KKR,RCB,KKR,536,509,730,393,0,0,41,35,-0.147,-1.16,514.5,517.5,0,0,home,away,KKR,88,normal,bat,0,5,0,SC Ganguly,Asad Rauf,IL Howell,,Eden Gardens
DEC,RR,RR,617,642,603,571,0,0,50,50,-0.467,0.632,598,917,0,0,away,home,RR,89,normal,field,0,0,8,YK Pathan,MR Benson,AM Saheba,,Sawai Mansingh Stadium
CSK,KXIP,KXIP,807,804,564,538,0,0,36,39,-0.192,0.509,680,727,0,0,home,away,CSK,91,normal,field,0,18,0,L Balaji,AV Jayaprakash,BG Jerling,,"MA Chidambaram Stadium, Chepauk"
KKR,DEC,KKR,536,617,730,603,0,0,53,35,-0.147,-0.467,514.5,598,0,0,away,away,KKR,92,normal,bat,0,23,0,SC Ganguly,IL Howell,AM Saheba,,"Rajiv Gandhi International Stadium, Uppal"
DC,RR,RR,536,642,590,571,0,0,43,55,0.342,0.632,517.5,917,0,0,away,home,RR,93,normal,field,0,0,3,SR Watson,SJ Davis,RE Koertzen,,Sawai Mansingh Stadium
RCB,KXIP,RCB,509,804,393,538,0,0,47,21,-1.16,0.509,517.5,727,0,0,away,away,KXIP,94,normal,bat,0,0,9,SE Marsh,BR Doctrove,I Shivram,,"Punjab Cricket Association Stadium, Mohali"
KKR,DC,KKR,536,536,730,590,0,0,50,42,-0.147,0.342,514.5,517.5,0,0,home,away,KKR,95,normal,bat,0,23,0,Shoaib Akhtar,Asad Rauf,IL Howell,,Eden Gardens
CSK,MI,MI,807,556,564,970,0,0,35,37,-0.192,0.57,680,724,0,0,away,home,MI,96,normal,field,0,0,9,ST Jayasuriya,BR Doctrove,AM Saheba,,Wankhede Stadium
DC,DEC,DEC,536,617,590,603,0,0,28,78,0.342,-0.467,517.5,598,0,0,away,away,DC,98,normal,field,0,12,0,A Mishra,BG Jerling,GA Pratapkumar,,Feroz Shah Kotla
KKR,MI,MI,536,556,730,970,0,0,51,38,-0.147,0.57,514.5,724,0,0,away,home,MI,99,normal,field,0,0,8,SM Pollock,BR Doctrove,DJ Harper,,Wankhede Stadium
DC,KXIP,DC,536,804,590,538,0,0,48,71,0.342,0.509,517.5,727,0,0,away,away,KXIP,100,normal,bat,1,6,0,DPMD Jayawardene,AV Jayaprakash,RE Koertzen,,Feroz Shah Kotla
RR,RCB,RCB,642,509,571,393,0,0,27,68,0.632,-1.16,917,517.5,0,0,home,away,RR,101,normal,field,0,65,0,GC Smith,BF Bowden,SL Shastri,,Sawai Mansingh Stadium
MI,DEC,DEC,556,617,970,603,0,0,68,73,0.57,-0.467,724,598,0,0,away,away,MI,102,normal,field,0,25,0,DJ Bravo,BR Doctrove,DJ Harper,,"Rajiv Gandhi International Stadium, Uppal"
KKR,CSK,KKR,536,807,730,564,0,0,51,23,-0.147,-0.192,514.5,680,0,0,home,away,CSK,103,normal,bat,1,3,0,M Ntini,Asad Rauf,K Hariharan,,Eden Gardens
RCB,DC,DC,509,536,393,590,0,0,57,32,-1.16,0.342,517.5,517.5,0,0,home,away,DC,104,normal,field,0,0,5,SP Goswami,SJ Davis,GA Pratapkumar,,M Chinnaswamy Stadium
KKR,RR,RR,536,642,730,571,0,0,35,43,-0.147,0.632,514.5,917,0,0,home,away,RR,105,normal,field,0,0,6,YK Pathan,BG Jerling,RE Koertzen,,Eden Gardens
KXIP,MI,MI,804,556,538,970,0,0,41,71,0.509,0.57,727,724,0,0,away,home,KXIP,106,normal,field,0,1,0,SE Marsh,BF Bowden,GA Pratapkumar,,Wankhede Stadium
RCB,CSK,RCB,509,807,393,564,0,0,32,42,-1.16,-0.192,517.5,680,0,0,away,home,RCB,107,normal,bat,0,14,0,A Kumble,DJ Harper,I Shivram,,"MA Chidambaram Stadium, Chepauk"
DEC,KXIP,KXIP,617,804,603,538,0,0,43,68,-0.467,0.509,598,727,0,0,away,away,KXIP,108,normal,field,0,0,6,SE Marsh,Asad Rauf,SJ Davis,,"Punjab Cricket Association Stadium, Mohali"
MI,DC,DC,556,536,970,590,0,0,23,44,0.57,0.342,724,517.5,0,0,away,away,DC,109,normal,field,0,0,5,KD Karthik,BF Bowden,K Hariharan,,Feroz Shah Kotla
RR,CSK,RR,642,807,571,564,0,0,42,74,0.632,-0.192,917,680,0,0,away,home,RR,110,normal,bat,0,10,0,JA Morkel,DJ Harper,SL Shastri,,"MA Chidambaram Stadium, Chepauk"
DEC,RCB,DEC,617,509,603,393,0,0,60,56,-0.467,-1.16,598,517.5,0,0,away,away,RCB,80,normal,bat,0,0,5,R Vinay Kumar,Asad Rauf,RE Koertzen,,"Rajiv Gandhi International Stadium, Uppal"
KXIP,KKR,KXIP,804,536,538,730,0,0,67,65,0.509,-0.147,727,514.5,0,0,away,home,KKR,112,normal,bat,0,0,3,Umar Gul,SJ Davis,I Shivram,,Eden Gardens
MI,RR,RR,556,642,970,571,0,0,46,33,0.57,0.632,724,917,0,0,away,home,RR,113,normal,field,0,0,5,Sohail Tanvir,BF Bowden,K Hariharan,,Sawai Mansingh Stadium
DEC,CSK,DEC,617,807,603,564,0,0,47,51,-0.467,-0.192,598,680,0,0,away,away,CSK,114,normal,bat,0,0,7,SK Raina,BG Jerling,AM Saheba,,"Rajiv Gandhi International Stadium, Uppal"
RCB,MI,MI,509,556,393,970,0,0,29,36,-1.16,0.57,517.5,724,0,0,home,away,MI,90,normal,field,0,0,9,CRD Fernando,BF Bowden,AV Jayaprakash,,M Chinnaswamy Stadium
KXIP,RR,RR,804,642,538,571,0,0,26,44,0.509,0.632,727,917,0,0,away,away,KXIP,97,normal,field,0,41,0,SE Marsh,SJ Davis,K Hariharan,,"Punjab Cricket Association Stadium, Mohali"
RR,DC,DC,642,536,571,590,0,0,58,28,0.632,0.342,917,517.5,0,0,away,away,RR,115,normal,field,0,105,0,SR Watson,BF Bowden,RE Koertzen,,Wankhede Stadium
KXIP,CSK,KXIP,804,807,538,564,0,0,35,35,0.509,-0.192,727,680,0,0,away,away,CSK,116,normal,bat,0,0,9,M Ntini,Asad Rauf,DJ Harper,,Wankhede Stadium
CSK,RR,RR,807,642,564,571,0,0,42,41,-0.192,0.632,680,917,0,0,away,away,RR,117,normal,field,0,0,3,YK Pathan,BF Bowden,RE Koertzen,,Dr DY Patil Sports Academy
MI,CSK,CSK,633,802,677,777,0.5,0.6,40,40,0.297,0.951,611.5,712,0,0,away,away,MI,118,normal,field,0,19,0,SR Tendulkar,BR Doctrove,K Hariharan,,Newlands
RCB,RR,RCB,822,585,671,723,0.2,0.818181818,29,14,-0.191,-0.352,681.5,601.5,1,0,away,away,RCB,119,normal,bat,0,75,0,R Dravid,BR Doctrove,RB Tiffin,,Newlands
KXIP,DC,DC,634,726,593,134,0.5,0.333333333,67,58,-0.483,0.311,634.5,681.5,1,0,away,away,DC,120,normal,field,1,0,10,DL Vettori,MR Benson,SD Ranade,,Newlands
KKR,DEC,KKR,726,808,529,775,0.5,0.222222222,21,37,-0.789,0.203,484,751,1,0,away,away,DEC,121,normal,bat,0,0,8,RP Singh,MR Benson,BR Doctrove,,Newlands
CSK,RCB,CSK,802,822,777,671,0.6,0.2,68,46,0.951,-0.191,712,681.5,1,0,away,away,CSK,122,normal,bat,0,92,0,M Muralitharan,BG Jerling,SJA Taufel,,St George's Park
KXIP,KKR,KKR,634,726,593,529,0.5,0.5,46,60,-0.483,-0.789,634.5,484,0.5,0.5,away,away,KKR,123,normal,field,1,11,0,CH Gayle,DJ Harper,SD Ranade,,Kingsmead
DEC,RCB,DEC,808,822,775,671,0.222222222,0.2,62,31,0.203,-0.191,751,681.5,0,1,away,away,DEC,124,normal,bat,0,24,0,AC Gilchrist,M Erasmus,AM Saheba,,Newlands
DC,CSK,DC,726,802,134,777,0.333333333,0.6,59,61,0.311,0.951,681.5,712,0,1,away,away,DC,125,normal,bat,0,9,0,AB de Villiers,BR Doctrove,SJA Taufel,,Kingsmead
RR,KKR,KKR,585,726,723,529,0.818181818,0.5,54,38,-0.352,-0.789,601.5,484,1,0,away,away,RR,126,tie,field,0,0,0,YK Pathan,MR Benson,M Erasmus,,Newlands
RCB,KXIP,RCB,822,634,671,593,0.2,0.5,49,44,-0.191,-0.483,681.5,634.5,0,1,away,away,KXIP,127,normal,bat,0,0,7,RS Bopara,BR Doctrove,TH Wijewardene,,Kingsmead
DEC,MI,DEC,808,633,775,677,0.222222222,0.5,55,50,0.203,0.297,751,611.5,1,0,away,away,DEC,128,normal,bat,0,12,0,PP Ojha,HDPK Dharmasena,SJA Taufel,,Kingsmead
RCB,DC,RCB,822,726,671,134,0.2,0.333333333,45,43,-0.191,0.311,681.5,681.5,0,1,away,away,DC,129,normal,bat,0,0,6,TM Dilshan,S Asnani,BG Jerling,,St George's Park
KXIP,RR,KXIP,634,585,593,723,0.5,0.818181818,38,32,-0.483,-0.352,634.5,601.5,0,0,away,away,KXIP,130,normal,bat,0,27,0,KC Sangakkara,M Erasmus,K Hariharan,,Newlands
CSK,DEC,DEC,802,808,777,775,0.6,0.222222222,62,69,0.951,0.203,712,751,0,1,away,away,DEC,131,normal,field,0,0,6,HH Gibbs,IL Howell,TH Wijewardene,,Kingsmead
MI,KKR,MI,633,726,677,529,0.5,0.5,61,47,0.297,-0.789,611.5,484,0,0,away,away,MI,132,normal,bat,0,92,0,SR Tendulkar,BG Jerling,RB Tiffin,,St George's Park
DC,RR,DC,726,585,134,723,0.333333333,0.818181818,42,33,0.311,-0.352,681.5,601.5,0,1,away,away,RR,133,normal,bat,0,0,5,YK Pathan,GAV Baxter,RE Koertzen,,SuperSport Park
KKR,RCB,KKR,726,822,529,671,0.5,0.2,45,46,-0.789,-0.191,484,681.5,1,0,away,away,RCB,134,normal,bat,0,0,5,MV Boucher,MR Benson,TH Wijewardene,,Kingsmead
KXIP,MI,KXIP,634,633,593,677,0.5,0.5,26,23,-0.483,0.297,634.5,611.5,1,0,away,away,KXIP,135,normal,bat,0,3,0,KC Sangakkara,MR Benson,SL Shastri,,Kingsmead
DEC,DC,DC,808,726,775,134,0.222222222,0.333333333,37,41,0.203,0.311,751,681.5,0,1,away,away,DC,136,normal,field,0,0,6,DP Nannes,GAV Baxter,AM Saheba,,SuperSport Park
CSK,RR,RR,802,585,777,723,0.6,0.818181818,40,38,0.951,-0.352,712,601.5,0,1,away,away,CSK,137,normal,field,0,38,0,SK Raina,GAV Baxter,RE Koertzen,,SuperSport Park
MI,KKR,MI,633,726,677,529,0.5,0.5,40,26,0.297,-0.789,611.5,484,0,0,away,away,MI,138,normal,bat,0,9,0,JP Duminy,M Erasmus,SK Tarapore,,Buffalo Park
RCB,KXIP,RCB,822,634,671,593,0.2,0.5,38,35,-0.191,-0.483,681.5,634.5,0,1,away,away,RCB,139,normal,bat,0,8,0,Yuvraj Singh,HDPK Dharmasena,S Ravi,,Kingsmead
DEC,RR,DEC,808,585,775,723,0.222222222,0.818181818,39,30,0.203,-0.352,751,601.5,0,1,away,away,RR,140,normal,bat,0,0,3,YK Pathan,S Asnani,BG Jerling,,St George's Park
CSK,DC,DC,802,726,777,134,0.6,0.333333333,53,49,0.951,0.311,712,681.5,1,0,away,away,CSK,141,normal,field,0,18,0,SB Jakati,DJ Harper,RE Koertzen,,New Wanderers Stadium
KKR,KXIP,KKR,726,634,529,593,0.5,0.5,28,51,-0.789,-0.483,484,634.5,0.5,0.5,away,away,KXIP,142,normal,bat,0,0,6,DPMD Jayawardene,S Asnani,MR Benson,,St George's Park
MI,RCB,MI,633,822,677,671,0.5,0.2,25,51,0.297,-0.191,611.5,681.5,0,1,away,away,RCB,143,normal,bat,0,0,9,JH Kallis,RE Koertzen,TH Wijewardene,,New Wanderers Stadium
CSK,DEC,CSK,802,808,777,775,0.6,0.222222222,53,52,0.951,0.203,712,751,0,1,away,away,CSK,144,normal,bat,0,78,0,MS Dhoni,BR Doctrove,M Erasmus,,Buffalo Park
RR,KXIP,KXIP,585,634,723,593,0.818181818,0.5,57,29,-0.352,-0.483,601.5,634.5,0,0,away,away,RR,145,normal,field,0,78,0,GC Smith,SS Hazare,IL Howell,,Kingsmead
KKR,DC,KKR,726,726,529,134,0.5,0.333333333,54,57,-0.789,0.311,484,681.5,1,0,away,away,DC,146,normal,bat,0,0,9,G Gambhir,GAV Baxter,IL Howell,,Kingsmead
DEC,MI,DEC,808,633,775,677,0.222222222,0.5,37,41,0.203,0.297,751,611.5,1,0,away,away,DEC,147,normal,bat,0,19,0,RG Sharma,MR Benson,HDPK Dharmasena,,SuperSport Park
RCB,RR,RR,822,585,671,723,0.2,0.818181818,29,31,-0.191,-0.352,681.5,601.5,1,0,away,away,RR,148,normal,field,0,0,7,A Singh,K Hariharan,DJ Harper,,SuperSport Park
CSK,KXIP,CSK,802,634,777,593,0.6,0.5,57,53,0.951,-0.483,712,634.5,1,0,away,away,CSK,149,normal,bat,1,12,0,ML Hayden,DJ Harper,TH Wijewardene,,SuperSport Park
MI,DC,MI,633,726,677,134,0.5,0.333333333,30,36,0.297,0.311,611.5,681.5,0.5,0.5,away,away,DC,150,normal,bat,0,0,7,A Nehra,M Erasmus,SK Tarapore,,Buffalo Park
DEC,KXIP,KXIP,808,634,775,593,0.222222222,0.5,52,45,0.203,-0.483,751,634.5,0,1,away,away,KXIP,151,normal,field,0,0,3,DPMD Jayawardene,GAV Baxter,AM Saheba,,De Beers Diamond Oval
RR,CSK,RR,585,802,723,777,0.818181818,0.6,34,37,-0.352,0.951,601.5,712,1,0,away,away,CSK,152,normal,bat,0,0,7,S Badrinath,GAV Baxter,HDPK Dharmasena,,De Beers Diamond Oval
MI,RCB,MI,633,822,677,671,0.5,0.2,46,39,0.297,-0.191,611.5,681.5,0,1,away,away,MI,153,normal,bat,0,16,0,JP Duminy,BR Doctrove,BG Jerling,,St George's Park
KKR,DC,DC,726,726,529,134,0.5,0.333333333,37,47,-0.789,0.311,484,681.5,1,0,away,away,DC,154,normal,field,0,0,7,A Mishra,SL Shastri,RB Tiffin,,New Wanderers Stadium
DEC,RR,DEC,808,585,775,723,0.222222222,0.818181818,42,30,0.203,-0.352,751,601.5,0,1,away,away,DEC,155,normal,bat,0,53,0,DR Smith,GAV Baxter,HDPK Dharmasena,,De Beers Diamond Oval
KKR,RCB,RCB,726,822,529,671,0.5,0.2,38,46,-0.789,-0.191,484,681.5,1,0,away,away,RCB,156,normal,field,0,0,6,LRPL Taylor,M Erasmus,SS Hazare,,SuperSport Park
KXIP,MI,KXIP,634,633,593,677,0.5,0.5,51,42,-0.483,0.297,634.5,611.5,1,0,away,away,MI,157,normal,bat,0,0,8,Harbhajan Singh,SS Hazare,RE Koertzen,,SuperSport Park
DC,DEC,DEC,726,808,134,775,0.333333333,0.222222222,56,50,0.311,0.203,681.5,751,1,0,away,away,DC,158,normal,field,0,12,0,R Bhatia,DJ Harper,SL Shastri,,Kingsmead
CSK,RCB,CSK,802,822,777,671,0.6,0.2,52,33,0.951,-0.191,712,681.5,1,0,away,away,RCB,159,normal,bat,0,0,2,LRPL Taylor,BR Doctrove,DJ Harper,,Kingsmead
RR,MI,RR,585,633,723,677,0.818181818,0.5,42,26,-0.352,0.297,601.5,611.5,1,0,away,away,RR,160,normal,bat,0,2,0,SK Warne,BR Doctrove,DJ Harper,,Kingsmead
DC,KXIP,KXIP,726,634,134,593,0.333333333,0.5,38,37,0.311,-0.483,681.5,634.5,0,1,away,away,KXIP,161,normal,field,0,0,6,B Lee,HDPK Dharmasena,IL Howell,,OUTsurance Oval
MI,CSK,MI,633,802,677,777,0.5,0.6,49,35,0.297,0.951,611.5,712,0,0,away,away,CSK,162,normal,bat,0,0,7,ML Hayden,SK Tarapore,SJA Taufel,,St George's Park
KKR,DEC,DEC,726,808,529,775,0.5,0.222222222,31,50,-0.789,0.203,484,751,1,0,away,away,DEC,163,normal,field,0,0,6,RG Sharma,RE Koertzen,S Ravi,,New Wanderers Stadium
KXIP,DEC,DEC,634,808,593,775,0.5,0.222222222,39,46,-0.483,0.203,634.5,751,1,0,away,away,KXIP,164,normal,field,0,1,0,Yuvraj Singh,S Ravi,RB Tiffin,,New Wanderers Stadium
DC,RR,DC,726,585,134,723,0.333333333,0.818181818,35,24,0.311,-0.352,681.5,601.5,0,1,away,away,DC,165,normal,bat,0,14,0,AB de Villiers,SS Hazare,IL Howell,,OUTsurance Oval
CSK,KKR,CSK,802,726,777,529,0.6,0.5,54,56,0.951,-0.789,712,484,0,0,away,away,KKR,166,normal,bat,0,0,7,BJ Hodge,SJA Taufel,RB Tiffin,,SuperSport Park
DC,RCB,DC,726,822,134,671,0.333333333,0.2,37,27,0.311,-0.191,681.5,681.5,1,0,away,away,RCB,167,normal,bat,0,0,7,JH Kallis,IL Howell,RB Tiffin,,New Wanderers Stadium
RR,KKR,KKR,585,726,723,529,0.818181818,0.5,46,29,-0.352,-0.789,601.5,484,1,0,away,away,KKR,168,normal,field,0,0,4,LR Shukla,BG Jerling,SJA Taufel,,Kingsmead
CSK,KXIP,CSK,802,634,777,593,0.6,0.5,50,29,0.951,-0.483,712,634.5,1,0,away,away,CSK,169,normal,bat,0,24,0,M Muralitharan,BG Jerling,SJA Taufel,,Kingsmead
MI,DC,DC,633,726,677,134,0.5,0.333333333,30,60,0.297,0.311,611.5,681.5,0.5,0.5,away,away,DC,170,normal,field,0,0,4,V Sehwag,IL Howell,S Ravi,,SuperSport Park
RCB,DEC,RCB,822,808,671,775,0.2,0.222222222,33,64,-0.191,0.203,681.5,751,1,0,away,away,RCB,171,normal,bat,0,12,0,MK Pandey,IL Howell,S Ravi,,SuperSport Park
DC,DEC,DEC,726,808,134,775,0.333333333,0.222222222,49,84,0.311,0.203,681.5,751,1,0,away,away,DEC,172,normal,field,0,0,6,AC Gilchrist,BR Doctrove,DJ Harper,,SuperSport Park
CSK,RCB,RCB,802,822,777,671,0.6,0.2,52,59,0.951,-0.191,712,681.5,1,0,away,away,RCB,173,normal,field,0,0,6,MK Pandey,RE Koertzen,SJA Taufel,,New Wanderers Stadium
DEC,RCB,RCB,808,822,775,671,0.222222222,0.2,31,36,0.203,-0.191,751,681.5,0,1,away,away,DEC,174,normal,field,0,6,0,A Kumble,RE Koertzen,SJA Taufel,,New Wanderers Stadium
KKR,DEC,DEC,822,494,669,628,0.384615385,0.473684211,38,62,-0.341,-0.297,562.5,748.5,0.3,0.7,away,away,KKR,175,normal,field,0,11,0,AD Mathews,RE Koertzen,RB Tiffin,,Dr DY Patil Sports Academy
MI,RR,MI,663,690,574,591,0.5,0.733333333,69,39,1.084,-0.514,699.5,577.5,0,1,home,away,MI,176,normal,bat,0,4,0,YK Pathan,RE Koertzen,RB Tiffin,,Brabourne Stadium
KXIP,DC,DC,586,822,473,878,0.571428571,0.533333333,44,39,-0.478,0.021,603,822,1,0,away,away,DC,177,normal,field,0,0,5,G Gambhir,BR Doctrove,S Ravi,,"Punjab Cricket Association Stadium, Mohali"
RCB,KKR,KKR,620,822,573,669,0.461538462,0.384615385,24,61,0.219,-0.341,822,562.5,0.5,0.5,away,home,KKR,178,normal,field,0,0,7,MK Tiwary,HDPK Dharmasena,AM Saheba,,Eden Gardens
DEC,CSK,DEC,494,539,628,658,0.473684211,0.583333333,57,34,-0.297,0.374,748.5,698.5,0.7,0.3,away,home,DEC,179,normal,bat,0,31,0,WPUJC Vaas,K Hariharan,DJ Harper,,"MA Chidambaram Stadium, Chepauk"
RR,DC,DC,690,822,591,878,0.733333333,0.533333333,47,60,-0.514,0.021,577.5,822,0,0,home,away,DC,180,normal,field,0,0,6,V Sehwag,BG Jerling,RE Koertzen,,"Sardar Patel Stadium, Motera"
KXIP,RCB,KXIP,586,620,473,573,0.571428571,0.461538462,50,61,-0.478,0.219,603,822,0,0,away,home,RCB,181,normal,bat,0,0,8,JH Kallis,S Das,DJ Harper,,M Chinnaswamy Stadium
CSK,KKR,CSK,539,822,658,669,0.583333333,0.384615385,31,45,0.374,-0.341,698.5,562.5,1,0,away,home,CSK,182,normal,bat,0,55,0,MS Dhoni,HDPK Dharmasena,AM Saheba,,Eden Gardens
MI,DC,DC,663,822,574,878,0.5,0.533333333,67,56,1.084,0.021,699.5,822,1,0,away,away,MI,183,normal,field,0,98,0,SR Tendulkar,BR Doctrove,SK Tarapore,,Feroz Shah Kotla
RR,RCB,RCB,690,620,591,573,0.733333333,0.461538462,31,59,-0.514,0.219,577.5,822,1,0,away,home,RCB,184,normal,field,0,0,10,JH Kallis,K Hariharan,DJ Harper,,M Chinnaswamy Stadium
DC,CSK,DC,822,539,878,658,0.533333333,0.583333333,52,56,0.021,0.374,822,698.5,0.6,0.4,away,away,CSK,185,normal,bat,0,0,5,ML Hayden,BR Doctrove,SK Tarapore,,Feroz Shah Kotla
DEC,KXIP,KXIP,494,586,628,473,0.473684211,0.571428571,56,27,-0.297,-0.478,748.5,603,0,1,away,away,DEC,186,normal,field,0,6,0,A Symonds,BF Bowden,M Erasmus,,Barabati Stadium
RR,KKR,RR,690,822,591,669,0.733333333,0.384615385,56,38,-0.514,-0.341,577.5,562.5,0.6,0.4,home,away,RR,187,normal,bat,0,34,0,AA Jhunjhunwala,RE Koertzen,RB Tiffin,,"Sardar Patel Stadium, Motera"
MI,RCB,MI,663,620,574,573,0.5,0.461538462,45,55,1.084,0.219,699.5,822,0.3,0.7,home,away,RCB,188,normal,bat,0,0,7,JH Kallis,HDPK Dharmasena,SS Hazare,,Brabourne Stadium
